posicao,nome,simbolo,preco_usd,variacao_24h,capitalizacao_usd,volume_24h_usd,fonte,coletado_em
1,Bitcoin,BTC,75973.44,-0.80,1517254420769.70,28132484254.973335,api,2026-09-16T18:29:35.699095+00:00
2,Ethereum,ETH,2407.93,-0.75,294670136987.89,14990329156.213396,api,2026-09-16T18:29:35.699095+00:00
3,Tether,USDT,1.00,0.05,183304839064.24,60576933299.17447,api,2026-09-16T18:29:35.699095+00:00
4,Binance Coin,BNB,717.08,-0.64,99807904369.95,683394345.3227587,api,2026-09-16T18:29:35.699095+00:00
5,XRP,XRP,1.28,-7.71,76648770114.03,4258996576.8992662,api,2026-09-16T18:29:35.699095+00:00
6,USD Coin,USDC,1.00,0.02,74035412739.41,10787720534.651056,api,2026-09-16T18:29:35.699095+00:00
7,Solana,SOL,98.16,-1.41,53315220952.33,2915916886.1833315,api,2026-09-16T18:29:35.699095+00:00
8,TRON,TRX,0.335656,0.87,31775278704.47,346054586.27589595,api,2026-09-16T18:29:35.699095+00:00
9,Hyperliquid,HYPE,79.68,3.19,26608487042.78,715270965.3786473,api,2026-09-16T18:29:35.699095+00:00
10,Zcash,ZEC,1336.12,18.67,21680396302.00,2100955993.4499805,api,2026-09-16T18:29:35.699095+00:00
