posicao,nome,simbolo,preco_usd,variacao_24h,capitalizacao_usd,volume_24h_usd,fonte,coletado_em
1,Bitcoin,BTC,75973.444736842,-0.80477235345107,1517254420769.7,28132484255,web_scraping,2026-09-16T18:29:36.039410+00:00
2,Ethereum,ETH,2407.9341666667,-0.75374301619306,294670136987.89,14990329156,web_scraping,2026-09-16T18:29:36.039410+00:00
3,Tether,USDT,1.0003214151042,0.048915351972088,183304839064.24,60576933299,web_scraping,2026-09-16T18:29:36.039410+00:00
4,Binance Coin,BNB,717.08072777778,-0.64112524917065,99807904369.949,683394345,web_scraping,2026-09-16T18:29:36.039410+00:00
5,XRP,XRP,1.28224,-7.7052270587902,76648770114.033,4258996577,web_scraping,2026-09-16T18:29:36.039410+00:00
6,USD Coin,USDC,1.000758125,0.02317530399626,74035412739.405,10787720535,web_scraping,2026-09-16T18:29:36.039410+00:00
7,Solana,SOL,98.158333333333,-1.4050318075291,53315220952.333,2915916886,web_scraping,2026-09-16T18:29:36.039410+00:00
8,TRON,TRX,0.33565623799594,0.86874023708686,31775278704.472,346054586,web_scraping,2026-09-16T18:29:36.039410+00:00
9,Hyperliquid,HYPE,79.683263157895,3.1879597166861,26608487042.777,715270965,web_scraping,2026-09-16T18:29:36.039410+00:00
10,Zcash,ZEC,1336.1228888889,18.669428239243,21680396301.999,2100955993,web_scraping,2026-09-16T18:29:36.039410+00:00
